ZTFID,n_raw,n_clean,n_removed,ref_band,t_peak_mjd,win_lo,win_hi,n_g,n_r,corroborated,verdict,reason
ZTF22aagzmcz,72,34,38.0,r,59704.58,59688.3,59738.2,8.0,26.0,True,ok,good for colour
ZTF22aahxaiv,195,59,136.0,r,59709.39,59694.2,59736.2,26.0,33.0,True,ok,good for colour
ZTF22aajakms,98,29,69.0,r,59713.06,59702.4,59737.3,8.0,21.0,True,ok,good for colour
ZTF22aakpyqw,131,35,96.0,r,59740.22,59724.3,59778.2,15.0,20.0,True,ok,good for colour
ZTF22aakyeps,436,101,335.0,g,60888.02,60880.2,60948.1,46.0,55.0,True,ok,good for colour
ZTF22aalfmec,127,34,93.0,r,59738.2,59727.4,59786.4,7.0,27.0,True,ok,good for colour
ZTF22aaolhhl,170,61,109.0,r,59759.53,59748.3,59818.2,25.0,36.0,True,ok,good for colour
ZTF22aaoolua,76,27,49.0,r,59761.22,59754.4,59824.4,7.0,20.0,True,ok,good for colour
ZTF22aarbard,158,53,105.0,r,59774.25,59761.4,59823.3,22.0,31.0,True,ok,good for colour
ZTF22aarqrxf,176,91,85.0,r,59807.82,59755.4,59866.1,39.0,52.0,True,ok,good for colour
ZTF22aarwwyy,139,50,89.0,r,59773.66,59764.4,59821.3,18.0,32.0,True,ok,good for colour
ZTF22aasxgjp,376,118,258.0,r,59784.42,59771.3,59831.0,46.0,72.0,True,ok,good for colour
ZTF22aatunnt,159,41,118.0,r,59795.96,59776.4,59855.3,14.0,27.0,True,ok,good for colour
ZTF22aazuotw,23,14,9.0,r,59809.66,59795.4,59829.4,6.0,8.0,True,ok,good for colour
ZTF22abbdxho,122,41,81.0,r,59824.02,59810.2,59829.2,15.0,26.0,True,ok,good for colour
ZTF22abbtqnp,61,30,31.0,r,60952.21,60939.2,60989.1,12.0,18.0,True,ok,good for colour
ZTF22abcsgeq,10,3,7.0,g,59824.44,59815.4,59824.4,3.0,0.0,True,insufficient,"ref g: 3 epochs, bracketed=False"
ZTF22abcvfgs,205,81,124.0,g,59871.99,59789.4,59907.1,49.0,32.0,True,ok,good for colour
ZTF22abfrkoh,67,32,35.0,r,59843.26,59843.3,59910.2,18.0,14.0,True,insufficient,"ref r: 14 epochs, bracketed=False"
ZTF22abfuwel,385,164,221.0,r,59850.74,59842.2,59913.2,73.0,91.0,True,ok,good for colour
ZTF22abfyqsc,90,36,54.0,r,59854.12,59843.4,59909.2,11.0,25.0,True,ok,good for colour
ZTF22abivebe,66,23,43.0,r,59861.08,59848.2,59881.2,11.0,12.0,True,ok,good for colour
ZTF22abjafpr,102,41,61.0,r,59863.63,59850.5,59914.4,16.0,25.0,True,ok,good for colour
ZTF22abkabeh,274,102,172.0,r,59870.69,59853.5,59934.4,32.0,70.0,True,ok,good for colour
ZTF22abkbmob,470,105,365.0,g,59900.84,59839.5,60045.2,50.0,55.0,True,ok,good for colour
ZTF22abllclb,97,38,59.0,r,59865.26,59858.4,59883.4,14.0,24.0,True,ok,good for colour
ZTF22abmonux,61,22,39.0,r,59878.77,59866.1,59922.1,8.0,14.0,True,ok,good for colour
ZTF22abnpsou,675,248,427.0,r,60062.28,59869.5,60124.2,109.0,139.0,False,check_peak,g/r peaks disagree (>30 d)
ZTF22abnvurz,625,181,444.0,r,59950.36,59870.5,60120.7,73.0,108.0,True,ok,good for colour
ZTF22absibqa,33,18,15.0,r,59898.53,59883.4,59922.4,4.0,14.0,True,ok,good for colour
ZTF22absphuu,169,80,89.0,r,59900.46,59889.3,59937.2,33.0,47.0,True,ok,good for colour
ZTF22abvcnnl,77,40,37.0,r,59939.77,59902.2,59984.1,19.0,21.0,True,ok,good for colour
ZTF22abwtqeb,27,14,13.0,r,59909.08,59906.5,59993.4,6.0,8.0,True,ok,good for colour
ZTF22abzejiv,21,11,10.0,r,59942.31,59932.2,59967.2,2.0,9.0,True,ok_single,ok but one band sparse for colour
ZTF23aaahtnj,77,41,36.0,r,59967.12,59956.5,60093.2,11.0,30.0,True,ok,good for colour
ZTF23aaaplam,13,5,8.0,r,59968.38,59968.4,59972.4,1.0,4.0,True,insufficient,"ref r: 4 epochs, bracketed=False"
ZTF23aaazffe,92,46,46.0,r,59986.03,59969.5,60091.4,13.0,33.0,True,ok,good for colour
ZTF23aaccacy,449,52,397.0,r,60042.54,59969.3,60094.2,17.0,35.0,True,ok,good for colour
ZTF23aadaxfn,240,82,158.0,r,60032.32,60016.3,60105.3,25.0,57.0,True,ok,good for colour
ZTF23aadtrzd,83,40,43.0,r,60058.41,60044.2,60137.2,15.0,25.0,True,ok,good for colour
ZTF23aaecgwh,113,55,58.0,r,60043.5,60032.4,60091.4,11.0,44.0,True,ok,good for colour
ZTF23aaemnzd,59,22,37.0,r,60056.95,60044.3,60088.2,7.0,15.0,True,ok,good for colour
ZTF23aafwykt,86,37,49.0,r,60063.31,60053.4,60120.2,10.0,27.0,True,ok,good for colour
ZTF23aahnmag,336,151,185.0,r,60097.51,60058.4,60194.2,62.0,89.0,True,ok,good for colour
ZTF23aajakys,140,63,77.0,r,60086.53,60075.3,60122.3,16.0,47.0,True,ok,good for colour
ZTF23aakmewi,431,127,304.0,r,60097.4,60083.4,60207.2,58.0,69.0,True,ok,good for colour
ZTF23aakstht,655,281,374.0,r,60107.87,60084.4,60226.2,93.0,188.0,True,ok,good for colour
ZTF23aamzljd,81,31,50.0,r,60110.0,60101.4,60121.3,14.0,17.0,True,ok,good for colour
ZTF23aandvzg,336,149,187.0,r,60117.43,60101.4,60174.2,47.0,102.0,True,ok,good for colour
ZTF23aanqoyo,422,113,309.0,r,60126.06,60108.4,60268.1,44.0,69.0,True,ok,good for colour
ZTF23aapbrrq,166,53,113.0,r,60136.42,60118.3,60220.1,22.0,31.0,True,ok,good for colour
ZTF23aaqekiu,148,46,102.0,r,60139.14,60133.4,60195.4,15.0,31.0,True,ok,good for colour
ZTF23aaspcfl,246,77,169.0,r,60164.07,60143.4,60234.1,28.0,49.0,True,ok,good for colour
ZTF23aawtmcf,173,89,84.0,r,60179.57,60165.2,60231.1,38.0,51.0,True,ok,good for colour
ZTF23aaxuvkn,523,137,386.0,r,60250.03,60170.5,60334.7,47.0,90.0,True,ok,good for colour
ZTF23aazodoj,414,86,328.0,g,60193.17,60183.4,60291.2,40.0,46.0,True,ok,good for colour
ZTF23aazuzip,26,14,12.0,r,60194.08,60182.3,60206.2,6.0,8.0,True,ok,good for colour
ZTF23abadhsw,83,29,54.0,r,60198.87,60183.5,60261.3,8.0,21.0,True,ok,good for colour
ZTF23abaxlrz,189,71,118.0,r,60208.82,60193.4,60294.2,33.0,38.0,True,ok,good for colour
ZTF23abbpswf,64,37,27.0,r,60206.13,60195.4,60268.1,19.0,18.0,True,ok,good for colour
ZTF23abbskff,22,11,11.0,r,60209.27,60195.5,60215.3,1.0,10.0,True,ok_single,ok but one band sparse for colour
ZTF23abcglga,104,53,51.0,r,60212.8,60198.3,60261.2,20.0,33.0,True,ok,good for colour
ZTF23abfmlft,98,46,52.0,r,60226.06,60206.5,60262.3,17.0,29.0,True,ok,good for colour
ZTF23abhyxpr,77,17,60.0,g,60231.39,60220.4,60262.4,8.0,9.0,True,ok,good for colour
ZTF23abjhbcr,101,34,67.0,g,60231.42,60231.4,60267.0,15.0,19.0,True,insufficient,"ref g: 15 epochs, bracketed=False"
ZTF23abjrolk,57,25,32.0,r,60238.77,60230.5,60262.5,8.0,17.0,True,ok,good for colour
ZTF23abjzkmx,53,21,32.0,r,60244.22,60232.5,60262.5,8.0,13.0,True,ok,good for colour
ZTF23abnpoqp,27,14,13.0,r,60252.09,60245.2,60260.2,7.0,7.0,True,ok,good for colour
ZTF23abochfb,139,41,98.0,g,60260.96,60249.3,60319.8,22.0,19.0,True,ok,good for colour
ZTF23abomtjc,265,19,246.0,r,60262.33,60251.4,60262.3,10.0,9.0,True,insufficient,"ref r: 9 epochs, bracketed=False"
ZTF23abovaur,63,34,29.0,g,60264.99,60252.5,60354.3,17.0,17.0,True,ok,good for colour
ZTF23abvokyz,257,19,238.0,g,60332.13,60306.1,60374.8,11.0,8.0,True,ok,good for colour
ZTF24aaabybk,39,14,25.0,r,60318.81,60315.3,60354.3,5.0,9.0,True,ok,good for colour
ZTF24aabuaij,36,13,23.0,r,60326.23,60315.5,60355.2,3.0,10.0,True,ok_single,ok but one band sparse for colour
ZTF24aacjcwl,20,9,11.0,r,60336.67,60325.2,60354.2,1.0,8.0,True,ok_single,ok but one band sparse for colour
ZTF24aacrbua,742,94,648.0,r,60406.04,60353.5,60502.2,43.0,51.0,True,ok,good for colour
ZTF24aadfmaf,436,87,349.0,r,60394.94,60355.5,60501.3,38.0,49.0,True,ok,good for colour
ZTF24aaeczdw,221,34,187.0,r,60351.24,60351.2,60374.3,15.0,19.0,True,insufficient,"ref r: 19 epochs, bracketed=False"
ZTF24aagfeti,1439,201,1238.0,r,60427.29,60390.4,60576.8,92.0,109.0,True,ok,good for colour
ZTF24aagkjca,84,10,74.0,r,60374.37,60374.4,60438.2,2.0,8.0,True,insufficient,"ref r: 8 epochs, bracketed=False"
ZTF24aagterj,189,45,144.0,r,60396.89,60369.4,60423.4,27.0,18.0,True,ok,good for colour
ZTF24aagtmbq,159,46,113.0,r,60387.46,60387.5,60463.2,12.0,34.0,True,insufficient,"ref r: 34 epochs, bracketed=False"
ZTF24aahuzig,130,19,111.0,r,60410.76,60397.2,60435.2,11.0,8.0,True,ok,good for colour
ZTF24aajdqbw,236,53,183.0,r,60430.24,60411.5,60490.3,24.0,29.0,True,ok,good for colour
ZTF24aajivqf,118,35,83.0,r,60426.18,60417.5,60500.3,8.0,27.0,True,ok,good for colour
ZTF24aajqamj,215,80,135.0,r,60430.1,60408.4,60550.2,30.0,50.0,True,ok,good for colour
ZTF24aakaiqs,2436,459,1977.0,r,60444.86,60417.4,60597.1,205.0,254.0,True,ok,good for colour
ZTF24aakftxp,78,13,65.0,r,60440.35,60440.3,60473.2,6.0,7.0,True,insufficient,"ref r: 7 epochs, bracketed=False"
ZTF24aancgyl,146,40,106.0,r,60451.39,60434.7,60535.3,12.0,28.0,True,ok,good for colour
ZTF24aaowjlw,804,83,721.0,g,60514.09,60442.4,60533.2,40.0,43.0,True,ok,good for colour
ZTF24aapadbb,942,128,814.0,r,60504.66,60455.3,60606.8,54.0,74.0,True,ok,good for colour
ZTF24aateouu,224,57,167.0,r,60502.01,60487.3,60527.2,18.0,39.0,True,ok,good for colour
ZTF24aawjwxx,229,73,156.0,r,60527.32,60507.3,60636.1,33.0,40.0,True,ok,good for colour
ZTF24aawtoiv,1025,250,775.0,r,60530.63,60513.5,60640.2,116.0,134.0,True,ok,good for colour
ZTF24aayikbu,30,12,18.0,r,60534.31,60525.3,60554.3,2.0,10.0,True,ok_single,ok but one band sparse for colour
ZTF24aayimjt,149,58,91.0,r,60537.53,60525.3,60592.1,24.0,34.0,True,ok,good for colour
ZTF24aaymkrs,443,120,323.0,r,60542.15,60525.4,60688.1,48.0,72.0,True,ok,good for colour
ZTF24aaysowl,1177,133,1044.0,g,60606.61,60526.4,60706.1,86.0,47.0,True,ok,good for colour
ZTF24aazmqbf,140,45,95.0,r,60541.81,60527.4,60604.2,15.0,30.0,True,ok,good for colour
ZTF24aazqavh,468,120,348.0,r,60540.61,60529.3,60592.1,51.0,69.0,True,ok,good for colour
ZTF24aaztbct,86,23,63.0,r,60549.15,60538.4,60588.2,6.0,17.0,True,ok,good for colour
ZTF24abajmau,312,79,233.0,r,60553.11,60527.4,60651.1,24.0,55.0,True,ok,good for colour
ZTF24abavusp,176,84,92.0,r,60533.32,60533.3,60562.3,36.0,48.0,True,insufficient,"ref r: 48 epochs, bracketed=False"
ZTF24abbsuhu,77,15,62.0,g,60549.27,60539.4,60568.3,13.0,2.0,True,ok_single,ok but one band sparse for colour
ZTF24abchdsc,46,11,35.0,g,60553.73,60547.3,60568.4,10.0,1.0,True,ok_single,ok but one band sparse for colour
ZTF24abdiwwv,538,81,457.0,r,60571.14,60545.4,60646.2,44.0,37.0,True,ok,good for colour
ZTF24abhhzrp,144,40,104.0,r,60577.88,60568.4,60637.3,14.0,26.0,True,ok,good for colour
ZTF24abhsqly,68,20,48.0,r,60577.28,60577.3,60586.5,11.0,9.0,True,insufficient,"ref r: 9 epochs, bracketed=False"
ZTF24abiifei,68,20,48.0,r,60598.42,60572.2,60621.1,6.0,14.0,True,ok,good for colour
ZTF24abimpmc,75,12,63.0,r,60588.98,60581.2,60602.3,8.0,4.0,True,insufficient,"ref r: 4 epochs, bracketed=True"
ZTF24abiwzzc,72,15,57.0,r,60588.22,60588.2,60632.2,12.0,3.0,True,insufficient,"ref r: 3 epochs, bracketed=False"
ZTF24abkiblx,213,22,191.0,r,60596.29,60593.4,60636.4,9.0,13.0,True,ok,good for colour
ZTF24ablmayf,39,14,25.0,r,60599.85,60591.5,60613.4,4.0,10.0,True,ok,good for colour
ZTF24ablsxza,78,25,53.0,r,60607.34,60598.3,60643.2,9.0,16.0,True,ok,good for colour
ZTF24abltheg,62,18,44.0,r,60593.12,60592.4,60623.3,6.0,12.0,True,ok,good for colour
ZTF24abnafgr,259,58,201.0,r,60609.43,60597.5,60636.5,26.0,32.0,True,ok,good for colour
ZTF24abncuhj,411,72,339.0,r,60614.27,60598.3,60706.2,33.0,39.0,True,ok,good for colour
ZTF24abnsght,63,19,44.0,r,60623.53,60607.2,60653.1,10.0,9.0,True,ok,good for colour
ZTF24abpqghw,115,23,92.0,r,60622.72,60614.1,60640.2,10.0,13.0,True,ok,good for colour
ZTF24abqbyxd,64,13,51.0,r,60631.13,60615.4,60652.2,2.0,11.0,True,ok_single,ok but one band sparse for colour
ZTF24abroqvs,121,30,91.0,r,60635.71,60628.5,60759.3,4.0,26.0,True,ok,good for colour
ZTF24absrpsn,85,19,66.0,r,60637.22,60628.3,60654.3,8.0,11.0,True,ok,good for colour
ZTF24absznoi,140,34,106.0,r,60657.67,60635.5,60680.4,24.0,10.0,True,ok,good for colour
ZTF24abtlppf,142,33,109.0,r,60686.79,60649.2,60711.2,16.0,17.0,True,ok,good for colour
ZTF24abtmueg,502,68,434.0,r,60694.89,60636.4,60753.1,31.0,37.0,True,ok,good for colour
ZTF24abtnkbi,171,35,136.0,r,60647.88,60639.4,60731.2,16.0,19.0,True,ok,good for colour
ZTF24abwmzop,277,58,219.0,r,60670.8,60650.2,60761.1,26.0,32.0,True,ok,good for colour
ZTF24abxxniy,85,9,76.0,r,60685.94,60680.4,60693.4,4.0,5.0,True,ok,good for colour
ZTF24abygyka,166,21,145.0,r,60665.19,60664.4,60729.2,6.0,15.0,True,ok,good for colour
ZTF24abzgggz,126,34,92.0,r,60677.86,60667.4,60694.3,17.0,17.0,True,ok,good for colour
ZTF24abzmhtv,233,37,196.0,r,60688.15,60665.1,60733.2,16.0,21.0,True,ok,good for colour
ZTF25aaadytl,389,128,261.0,r,60698.39,60676.6,60804.2,55.0,73.0,True,ok,good for colour
ZTF25aaaecsu,411,105,306.0,r,60710.13,60673.3,60760.3,41.0,64.0,True,ok,good for colour
ZTF25aaaeykb,93,16,77.0,r,60680.38,60680.4,60698.5,7.0,9.0,True,insufficient,"ref r: 9 epochs, bracketed=False"
ZTF25aabzbve,54,14,40.0,r,60709.82,60694.2,60759.1,1.0,13.0,True,ok_single,ok but one band sparse for colour
ZTF25aaccmjq,287,98,189.0,r,60705.05,60692.3,60816.2,36.0,62.0,True,ok,good for colour
ZTF25aadnogd,305,89,216.0,r,60727.54,60707.3,60821.2,33.0,56.0,True,ok,good for colour
ZTF25aafdnuf,196,63,133.0,r,60728.36,60710.5,60795.4,12.0,51.0,True,ok,good for colour
ZTF25aafedas,97,31,66.0,r,60718.52,60710.5,60824.4,7.0,24.0,True,ok,good for colour
ZTF25aafkxdu,79,21,58.0,r,60721.49,60721.5,60757.5,8.0,13.0,True,insufficient,"ref r: 13 epochs, bracketed=False"
ZTF25aajbcmc,176,24,152.0,g,60776.08,60751.2,60803.2,11.0,13.0,True,ok,good for colour
ZTF25aajgfsk,105,26,79.0,g,60766.21,60757.3,60820.9,7.0,19.0,True,ok,good for colour
ZTF25aajuqtp,154,20,134.0,r,60767.6,60750.9,60795.2,7.0,13.0,True,ok,good for colour
ZTF25aakbbof,34,9,25.0,r,60769.21,60757.2,60777.3,2.0,7.0,True,ok_single,ok but one band sparse for colour
ZTF25aakeqyr,291,68,223.0,r,60807.07,60743.4,60857.3,30.0,38.0,True,ok,good for colour
ZTF25aamplge,58,11,47.0,g,60792.98,60776.3,60829.2,9.0,2.0,True,ok_single,ok but one band sparse for colour
ZTF25aankyie,29,6,23.0,r,60785.39,60785.4,60787.4,1.0,5.0,True,insufficient,"ref r: 5 epochs, bracketed=False"
ZTF25aanxtou,139,45,94.0,r,60820.54,60787.5,60858.4,15.0,30.0,True,ok,good for colour
ZTF25aaomnws,141,47,94.0,g,60813.55,60788.3,60859.2,24.0,23.0,True,ok,good for colour
ZTF25aarmzhx,226,81,145.0,r,60835.99,60818.4,60908.2,17.0,64.0,True,ok,good for colour
ZTF25aaurzyo,80,26,54.0,g,60839.33,60839.3,60856.3,12.0,14.0,True,insufficient,"ref g: 12 epochs, bracketed=False"
ZTF25aavahfn,80,22,58.0,r,60849.66,60838.3,60860.3,6.0,16.0,True,ok,good for colour
ZTF25aawaobl,188,51,137.0,r,60854.19,60846.4,60902.2,18.0,33.0,True,ok,good for colour
ZTF25aaxegmh,277,66,211.0,g,60866.44,60852.4,60887.4,34.0,32.0,True,ok,good for colour
ZTF25abbzsku,236,55,181.0,r,60887.98,60875.4,60933.2,23.0,32.0,True,ok,good for colour
ZTF25abclliu,204,64,140.0,r,60925.42,60879.4,60988.1,33.0,31.0,True,ok,good for colour
ZTF25abcydiy,490,100,390.0,g,60906.72,60878.3,60944.2,46.0,54.0,True,ok,good for colour
ZTF25abecvml,174,67,107.0,r,60894.14,60882.4,60960.3,24.0,43.0,True,ok,good for colour
ZTF25abixhdc,303,71,232.0,g,60937.81,60903.2,60970.9,41.0,30.0,True,ok,good for colour
ZTF25abkwytp,154,39,115.0,r,60921.8,60914.2,60980.1,16.0,23.0,True,ok,good for colour
ZTF25ablgkgi,237,60,177.0,r,60926.45,60910.4,60990.3,17.0,43.0,True,ok,good for colour
ZTF25ablulax,776,182,594.0,r,60947.85,60912.4,61031.1,75.0,107.0,True,ok,good for colour
ZTF25abmjfcf,261,67,194.0,g,60932.01,60917.3,60973.2,30.0,37.0,True,ok,good for colour
ZTF25abmsmeg,175,77,98.0,r,60930.08,60917.4,61030.1,36.0,41.0,True,ok,good for colour
ZTF25abmtiec,53,20,33.0,r,60922.66,60917.3,60942.3,9.0,11.0,True,ok,good for colour
ZTF25aboftol,386,124,262.0,r,60946.14,60918.4,61029.2,51.0,73.0,True,ok,good for colour
ZTF25abqsbxy,95,33,62.0,r,60949.21,60933.2,60980.1,10.0,23.0,True,ok,good for colour
ZTF25abvbjre,298,75,223.0,r,60962.49,60949.3,60989.2,28.0,47.0,True,ok,good for colour
ZTF25abvcnay,72,23,49.0,r,60957.69,60954.5,60982.4,9.0,14.0,True,ok,good for colour
ZTF25abweqoj,22,12,10.0,r,60956.52,60956.5,60975.5,3.0,9.0,True,insufficient,"ref r: 9 epochs, bracketed=False"
ZTF25abwophe,108,31,77.0,r,60976.44,60960.3,61030.1,12.0,19.0,True,ok,good for colour
ZTF25abxfsza,481,110,371.0,g,61040.84,61037.5,61185.3,54.0,56.0,True,ok,good for colour
ZTF25abyevmr,731,162,569.0,r,60984.94,60968.5,61146.2,64.0,98.0,True,ok,good for colour
ZTF25abyrwhz,593,158,435.0,g,60990.95,60969.5,61085.3,78.0,80.0,True,ok,good for colour
ZTF25abzudli,86,31,55.0,r,60988.01,60972.5,61031.4,7.0,24.0,True,ok,good for colour
ZTF25acbzkov,35,15,20.0,r,60990.12,60974.2,60990.1,6.0,9.0,True,insufficient,"ref r: 9 epochs, bracketed=False"
ZTF25accmopr,553,90,463.0,g,61037.94,61005.4,61147.0,43.0,47.0,True,ok,good for colour
ZTF25acdktzt,100,33,67.0,r,61007.26,60988.5,61058.4,13.0,20.0,True,ok,good for colour
ZTF25acemaph,1129,261,868.0,g,61036.93,61003.5,61181.2,118.0,143.0,True,ok,good for colour
ZTF25aceopyo,41,12,29.0,r,61004.36,61004.4,61010.4,4.0,8.0,True,insufficient,"ref r: 8 epochs, bracketed=False"
ZTF25acgdfwz,185,44,141.0,r,61030.61,61016.2,61059.1,20.0,24.0,True,ok,good for colour
ZTF26aaakmmc,199,49,150.0,g,61072.11,61054.2,61096.2,26.0,23.0,True,ok,good for colour
ZTF26aadqfik,139,29,110.0,r,61082.71,61073.2,61117.2,9.0,20.0,True,ok,good for colour
ZTF26aadqwlb,132,28,104.0,g,61072.52,61065.3,61095.3,13.0,15.0,True,ok,good for colour
ZTF26aagbzrh,112,21,91.0,r,61093.64,61080.5,61111.5,6.0,15.0,True,ok,good for colour
ZTF26aagrmky,140,28,112.0,r,61095.74,61085.5,61129.4,7.0,21.0,True,ok,good for colour
ZTF26aahinar,533,88,445.0,r,61104.16,61094.5,61184.3,36.0,52.0,True,ok,good for colour
ZTF26aahjdpb,232,55,177.0,g,61103.12,61094.4,61152.9,29.0,26.0,True,ok,good for colour
ZTF26aajnayv,197,38,159.0,r,61113.5,61105.4,61140.2,12.0,26.0,True,ok,good for colour
ZTF26aakdoou,199,23,176.0,r,61119.64,61111.2,61139.2,8.0,15.0,True,ok,good for colour
ZTF26aalsmpp,757,113,644.0,r,61134.59,61115.4,61179.2,63.0,50.0,True,ok,good for colour
ZTF26aaqxhgb,87,8,79.0,r,61140.17,61135.2,61140.2,4.0,4.0,True,insufficient,"ref r: 4 epochs, bracketed=False"
ZTF26aarkqap,525,23,502.0,r,61153.89,61137.2,61168.2,12.0,11.0,True,ok,good for colour
ZTF26aatlolu,309,58,251.0,g,61158.12,61150.3,61185.3,28.0,30.0,True,ok,good for colour
ZTF26aaulhci,106,14,92.0,g,61162.78,61159.3,61170.2,7.0,7.0,True,ok,good for colour
