ZTFID,n_raw,n_clean,n_removed,ref_band,t_peak_mjd,win_lo,win_hi,n_g,n_r,corroborated,verdict,reason
ZTF18acizepv,1554,86,1468.0,r,60624.04,60608.3,60671.1,37.0,49.0,True,ok,good for colour
ZTF18acnncve,68,17,51.0,r,58450.08,58438.5,58493.5,3.0,14.0,True,ok_single,ok but one band sparse for colour
ZTF18acsjrbc,48,24,24.0,r,58466.33,58455.3,58493.3,4.0,20.0,True,ok,good for colour
ZTF18acyxnyw,328,225,103.0,g,58506.86,58471.5,58628.2,112.0,113.0,True,ok,good for colour
ZTF18aczcumi,10,6,4.0,r,58479.73,58472.4,58486.5,0.0,6.0,True,ok_single,ok but one band sparse for colour
ZTF18aczqzrj,63,45,18.0,r,58487.16,58476.4,58526.2,7.0,38.0,True,ok,good for colour
ZTF18adasisj,155,21,134.0,r,58509.12,58482.2,58538.1,10.0,11.0,True,ok,good for colour
ZTF18adaykvg,23,5,18.0,r,58480.42,58480.4,58481.5,1.0,4.0,True,insufficient,"ref r: 4 epochs, bracketed=False"
ZTF19aadnhdo,137,68,69.0,r,58505.79,58502.4,58606.2,9.0,59.0,True,ok,good for colour
ZTF19aafmyow,759,410,349.0,r,58531.44,58526.5,58744.1,186.0,224.0,True,ok,good for colour
ZTF19aailcgs,33,21,12.0,g,58522.41,58522.4,58601.2,9.0,12.0,True,insufficient,"ref g: 9 epochs, bracketed=False"
ZTF19aailsge,21,17,4.0,r,58526.7,58522.5,58641.3,4.0,13.0,True,ok,good for colour
ZTF19aakirwj,184,37,147.0,r,58580.53,58513.4,58662.2,16.0,21.0,False,check_peak,g/r peaks disagree (>30 d)
ZTF19aakpcuw,541,242,299.0,r,58538.51,58538.5,58727.1,97.0,145.0,True,insufficient,"ref r: 145 epochs, bracketed=False"
ZTF19aalfsqm,39,3,36.0,r,58541.54,58541.5,58560.4,0.0,3.0,True,insufficient,"ref r: 3 epochs, bracketed=False"
ZTF19aalouag,914,258,656.0,r,58589.04,58540.3,58682.2,138.0,120.0,True,ok,good for colour
ZTF19aamgghn,207,78,129.0,r,58571.58,58556.2,58649.2,37.0,41.0,True,ok,good for colour
ZTF19aamsetj,212,46,166.0,r,58593.71,58556.2,58642.2,22.0,24.0,True,ok,good for colour
ZTF19aanesgt,78,13,65.0,r,58585.48,58567.2,58606.2,6.0,7.0,True,ok,good for colour
ZTF19aanfukh,107,21,86.0,r,58577.39,58559.2,58608.2,10.0,11.0,True,ok,good for colour
ZTF19aanijpu,274,47,227.0,r,58618.85,58572.4,58716.1,22.0,25.0,True,ok,good for colour
ZTF19aaoxvfe,55,21,34.0,r,58594.66,58580.2,58612.2,10.0,11.0,True,ok,good for colour
ZTF19aarfyvc,271,155,116.0,r,58614.12,58572.4,58663.3,48.0,107.0,True,ok,good for colour
ZTF19aarphwc,531,300,231.0,g,58641.2,58596.5,58703.3,144.0,156.0,True,ok,good for colour
ZTF19aatheus,400,305,95.0,r,58616.82,58605.4,58725.2,161.0,144.0,True,ok,good for colour
ZTF19aavitlq,283,128,155.0,r,58642.72,58632.5,58732.3,12.0,116.0,True,ok,good for colour
ZTF19aavouyw,97,21,76.0,g,58644.43,58632.3,58672.2,12.0,9.0,True,ok,good for colour
ZTF19aavoweu,173,106,67.0,r,58646.16,58635.3,58668.2,41.0,65.0,True,ok,good for colour
ZTF19aawfbtg,349,121,228.0,r,58692.55,58634.4,58791.1,53.0,68.0,True,ok,good for colour
ZTF19aawhzsh,154,41,113.0,r,60053.88,60032.2,60101.3,27.0,14.0,True,ok,good for colour
ZTF19aawqcgy,647,46,601.0,r,58647.75,58636.3,58697.1,26.0,20.0,True,ok,good for colour
ZTF19aawsday,59,15,44.0,r,58645.72,58636.4,58706.4,5.0,10.0,True,ok,good for colour
ZTF19aaxfcpq,195,93,102.0,r,58650.47,58638.3,58699.9,12.0,81.0,True,ok,good for colour
ZTF19aaxzdtw,163,107,56.0,r,58660.1,58641.3,58684.2,48.0,59.0,True,ok,good for colour
ZTF19abafmwj,280,109,171.0,r,58666.19,58652.3,58727.1,48.0,61.0,True,ok,good for colour
ZTF19abauylg,231,58,173.0,r,58671.89,58663.3,58736.2,28.0,30.0,True,ok,good for colour
ZTF19abcegvm,289,43,246.0,r,58711.39,58662.5,58789.2,19.0,24.0,True,ok,good for colour
ZTF19abdoior,361,142,219.0,r,58680.99,58668.3,58747.3,79.0,63.0,True,ok,good for colour
ZTF19abfiqjg,53,16,37.0,r,58688.69,58676.5,58709.4,6.0,10.0,True,ok,good for colour
ZTF19abfsxpw,132,30,102.0,r,58689.04,58674.2,58776.1,15.0,15.0,True,ok,good for colour
ZTF19abfvnns,436,165,271.0,g,58707.17,58672.4,58813.9,78.0,87.0,True,ok,good for colour
ZTF19ablesob,287,95,192.0,r,58711.44,58695.5,58779.2,38.0,57.0,True,ok,good for colour
ZTF19abnacvf,110,36,74.0,g,58732.4,58699.5,58777.7,17.0,19.0,True,ok,good for colour
ZTF19abpbopt,559,191,368.0,g,58730.14,58706.2,58785.2,118.0,73.0,True,ok,good for colour
ZTF19abqmsbk,89,15,74.0,r,58730.27,58728.2,58761.1,10.0,5.0,True,ok,good for colour
ZTF19abqqrgy,64,19,45.0,r,58727.74,58710.4,58812.2,6.0,13.0,True,ok,good for colour
ZTF19abqshry,114,37,77.0,r,58738.13,58720.3,58795.1,20.0,17.0,True,ok,good for colour
ZTF19abqwtfu,448,128,320.0,r,58736.25,58716.4,58878.1,50.0,78.0,True,ok,good for colour
ZTF19abqxibq,73,36,37.0,r,58744.03,58719.4,58831.1,15.0,21.0,True,ok,good for colour
ZTF19abtsnyy,846,152,694.0,r,58770.76,58716.5,58903.2,50.0,102.0,True,ok,good for colour
ZTF19abupned,387,117,270.0,r,58741.79,58724.4,58812.2,54.0,63.0,True,ok,good for colour
ZTF19abvdgqo,196,72,124.0,r,58738.98,58730.1,58759.3,37.0,35.0,True,ok,good for colour
ZTF19abzqywg,43,8,35.0,r,58760.5,58745.5,58760.5,4.0,4.0,True,insufficient,"ref r: 4 epochs, bracketed=False"
ZTF19abztknu,486,154,332.0,r,58770.25,58747.4,58899.1,42.0,112.0,True,ok,good for colour
ZTF19abzwaen,48,22,26.0,r,58750.26,58750.3,58791.1,6.0,16.0,True,insufficient,"ref r: 16 epochs, bracketed=False"
ZTF19acbmojx,40,23,17.0,r,58768.28,58756.5,58793.5,5.0,18.0,True,ok,good for colour
ZTF19acbonaa,455,126,329.0,r,58796.41,58756.5,58896.1,19.0,107.0,True,ok,good for colour
ZTF19acdabep,46,21,25.0,r,58773.24,58757.5,58791.5,6.0,15.0,True,ok,good for colour
ZTF19aceqjqw,65,22,43.0,r,58784.59,58769.5,58812.5,5.0,17.0,True,ok,good for colour
ZTF19aceqvhl,15,7,8.0,r,58774.67,58770.5,58791.5,0.0,7.0,True,ok_single,ok but one band sparse for colour
ZTF19acfwynw,146,29,117.0,g,58820.36,58775.2,58863.1,14.0,15.0,True,ok,good for colour
ZTF19acgjosf,151,45,106.0,r,58803.6,58776.5,58899.3,17.0,28.0,True,ok,good for colour
ZTF19acgjpgh,55,48,7.0,r,58844.88,58776.5,58912.2,20.0,28.0,True,ok,good for colour
ZTF19ackjjwf,1104,216,888.0,r,58801.55,58783.5,58912.2,44.0,172.0,True,ok,good for colour
ZTF19ackjrru,214,66,148.0,g,58814.63,58785.5,58876.2,28.0,38.0,True,ok,good for colour
ZTF19acllsbq,72,14,58.0,r,58817.11,58788.2,58863.1,4.0,10.0,True,ok,good for colour
ZTF19acmelor,115,19,96.0,r,58804.41,58792.1,58863.1,7.0,12.0,True,ok,good for colour
ZTF19acxmpnz,54,16,38.0,r,58833.36,58833.4,58874.2,4.0,12.0,True,insufficient,"ref r: 12 epochs, bracketed=False"
ZTF19acyogrm,143,55,88.0,r,58846.3,58831.1,58904.2,22.0,33.0,True,ok,good for colour
ZTF19adaivcf,238,126,112.0,r,58873.26,58836.5,58915.4,56.0,70.0,True,ok,good for colour
