obj_id,ra,dec,filter,mjd,instrument_name,snr,origin,mag,magerr,magsys,limiting_mag
ZTF21acgxypn,,,ztfr,59497.2995023001,ZTF,19.32440890622613,fp,19.033409172523506,0.056184704537499006,ab,20.1365
ZTF21acgxypn,356.8929025,-7.8069763,ztfr,59497.2995023001,ZTF,9.635192877687468,None,19.02023150349273,0.11268442869186401,ab,19.732457524660923
ZTF21acgxypn,356.8929025,-7.8069763,ztfr,59497.2995023001,ZTF,9.635229827843931,None,19.02020115236946,0.11268399655818939,ab,19.732431337236942
ZTF21acgxypn,356.8929025,-7.8069763,ztfr,59497.2995023001,ZTF,9.635229827843931,None,19.020200729370117,0.1126839965581894,ab,20.136499404907227
ZTF21acgxypn,,,ztfi,59497.31510420004,ZTF,11.842269526947598,fp,18.988807134156648,0.09168311887239937,ab,19.4461
ZTF21acgxypn,356.8928504,-7.806966,ztfi,59497.31510420004,ZTF,9.423096923656738,None,18.957901444734844,0.11522074043750762,ab,19.645960579363145
ZTF21acgxypn,356.8928504,-7.806966,ztfi,59497.31510420004,ZTF,9.423096923656736,None,18.957901000976562,0.11522074043750763,ab,19.44610023498535
ZTF21acgxypn,356.8928504,-7.806966,ztfi,59497.31510420004,ZTF,9.423075597127866,None,18.95789934779586,0.11522100120782851,ab,19.64595602516293
ZTF21acgxypn,,,ztfg,59497.357175900135,ZTF,12.647807653026968,fp,19.35046047856883,0.08584382641985254,ab,19.9504
ZTF21acgxypn,356.8929146,-7.8069553,ztfg,59497.357175900135,ZTF,8.684808774546246,None,19.278549371343342,0.12501555681228638,ab,19.878025011567694
ZTF21acgxypn,356.8929146,-7.8069553,ztfg,59497.357175900135,ZTF,8.684808774546246,None,19.278549194335938,0.12501555681228638,ab,19.950366973876953
ZTF21acgxypn,356.8929146,-7.8069553,ztfg,59497.357175900135,ZTF,8.684777719225767,None,19.27849995093222,0.12501600384712216,ab,19.877971708751446
ZTF21acgxypn,356.8929304,-7.8070017,ztfg,59502.249872699846,ZTF,8.94126918614007,None,19.081096649169922,0.12142976373434068,ab,19.592985153198242
ZTF21acgxypn,356.8929304,-7.8070017,ztfg,59502.249872699846,ZTF,8.941269186140072,None,19.08109708270113,0.12142976373434067,ab,19.712169996763258
ZTF21acgxypn,,,ztfg,59502.249872699846,ZTF,11.012488545125827,fp,19.12985459807743,0.09859135837545827,ab,19.593
ZTF21acgxypn,356.8929304,-7.8070017,ztfg,59502.249872699846,ZTF,8.941251630637668,None,19.081100703927508,0.12143000215291977,ab,19.71217148622703
ZTF21acgxypn,356.8928979,-7.8069558,ztfr,59502.254120400175,ZTF,12.675690283207226,None,18.632900246161647,0.08565499633550643,ab,19.6429042831506
ZTF21acgxypn,356.8928979,-7.8069558,ztfr,59502.254120400175,ZTF,12.675728873529184,None,18.632879390393377,0.08565473556518553,ab,19.642886732831187
ZTF21acgxypn,356.8928979,-7.8069558,ztfr,59502.254120400175,ZTF,12.675728873529183,None,18.63287925720215,0.08565473556518555,ab,19.594844818115234
ZTF21acgxypn,,,ztfi,59502.27424769988,ZTF,8.829566435691062,fp,19.1299361112922,0.12296597037532254,ab,19.2459
ZTF21acgxypn,356.8928879,-7.8069844,ztfi,59502.27424769988,ZTF,6.4674711319421805,None,19.06562254365918,0.16787646710872647,ab,19.345033780033845
ZTF21acgxypn,356.8928879,-7.8069844,ztfi,59502.27424769988,ZTF,6.46747113194218,None,19.065622329711914,0.1678764671087265,ab,19.24591827392578
ZTF21acgxypn,356.8928879,-7.8069844,ztfi,59502.27424769988,ZTF,6.467488928158634,None,19.065599869732466,0.16787600517272946,ab,19.345014093668965
ZTF21acgxypn,,,sdssr,59502.28843019996,SEDM,18.175210927510005,SEDM_FPIPE_SDSS,18.679169973105356,0.05973719969955115,ab,20.0804436113849
ZTF21acgxypn,356.8928968,-7.8070096,ztfr,59503.28703700006,ZTF,9.750293971351436,None,18.780593872070312,0.11135420203208923,ab,19.329463958740234
ZTF21acgxypn,356.8928968,-7.8070096,ztfr,59503.28703700006,ZTF,9.750293971351436,None,18.780594019801303,0.1113542020320892,ab,19.505713283646344
ZTF21acgxypn,356.8928968,-7.8070096,ztfr,59503.28703700006,ZTF,9.750311585666717,None,18.78059995647496,0.1113540008664131,ab,19.505721181746253
ZTF21acgxypn,,,ztfr,59503.28703700006,ZTF,12.145403464697903,fp,18.815379632977013,0.08939482396891582,ab,19.3295
ZTF21acgxypn,,,sdssr,59507.20912359981,SEDM,10.888205729079221,SEDM_FPIPE_SDSS,18.473062572581373,0.09971672392802468,ab,19.31802835705313
ZTF21acgxypn,,,sdssr,59508.09536379995,SEDM,6.7830579615998605,SEDM_FPIPE_SDSS,18.248126109367362,0.16006588929428023,ab,18.57926491890454
ZTF21acgxypn,356.8928978,-7.8069443,ztfr,59509.255034700036,ZTF,12.212894131064399,None,18.444601441054584,0.08890081197023392,ab,19.41422291116865
ZTF21acgxypn,356.8928978,-7.8069443,ztfr,59509.255034700036,ZTF,12.212894131064399,None,18.44460105895996,0.08890081197023392,ab,19.7966365814209
ZTF21acgxypn,356.8928978,-7.8069443,ztfr,59509.255034700036,ZTF,12.212868542726289,None,18.444599698426938,0.08890099823474884,ab,19.414218893714583
ZTF21acgxypn,356.8929102,-7.8069438,ztfi,59509.29309030017,ZTF,9.221996992511654,None,18.574121769083085,0.11773330718278883,ab,19.238759198870017
ZTF21acgxypn,356.8929102,-7.8069438,ztfi,59509.29309030017,ZTF,9.221996992511654,None,18.574121475219727,0.11773330718278885,ab,19.40250587463379
ZTF21acgxypn,356.8929102,-7.8069438,ztfi,59509.29309030017,ZTF,9.222020920199432,None,18.574100907952285,0.11773300170898438,ab,19.23874115482138
ZTF21acgxypn,,,ztfi,59509.29309030017,ZTF,17.014449375402627,fp,18.518141017683764,0.06381259721091836,ab,19.4025
ZTF21acgxypn,,,sdssr,59512.16753160022,SEDM,41.25810529159118,SEDM_FPIPE_SDSS,18.508012285195427,0.026315706867407054,ab,20.799360474001972
ZTF21acgxypn,,,ztfi,59517.30098380009,ZTF,21.947613997967334,fp,18.53375664583836,0.04946944140983544,ab,19.7259
ZTF21acgxypn,356.8928912,-7.8069317,ztfi,59517.30098380009,ZTF,10.840328180833124,None,18.556182861328125,0.10015713423490524,ab,19.725894927978516
ZTF21acgxypn,356.8928912,-7.8069317,ztfi,59517.30098380009,ZTF,10.84034269605719,None,18.55620040778897,0.10015700012445448,ab,19.39638292640643
ZTF21acgxypn,356.8928912,-7.8069317,ztfi,59517.30098380009,ZTF,10.840328180833126,None,18.55618314713931,0.10015713423490524,ab,19.3963642119545
ZTF21acgxypn,356.8928825,-7.8069599,ztfr,59520.232453700155,ZTF,14.982537765028532,None,18.496141571068918,0.07246677577495576,ab,19.68768001286348
ZTF21acgxypn,356.8928825,-7.8069599,ztfr,59520.232453700155,ZTF,14.982537765028532,None,18.49614143371582,0.07246677577495576,ab,20.25701141357422
ZTF21acgxypn,356.8928825,-7.8069599,ztfr,59520.232453700155,ZTF,14.982491552846607,None,18.496099885518042,0.07246699929237364,ab,19.687634978459617
ZTF21acgxypn,,,ztfg,59520.29140050011,ZTF,14.988737453700262,fp,19.568247165585824,0.07243680183951012,ab,20.421
ZTF21acgxypn,356.8928871,-7.8069659,ztfg,59520.29140050011,ZTF,8.750745088248673,None,19.5626242398482,0.12407357245683669,ab,20.170311811260646
ZTF21acgxypn,356.8928871,-7.8069659,ztfg,59520.29140050011,ZTF,8.750745088248673,None,19.562623977661133,0.12407357245683669,ab,20.420955657958984
ZTF21acgxypn,356.8928871,-7.8069659,ztfg,59520.29140050011,ZTF,8.750715136013838,None,19.562599535456577,0.12407399713993071,ab,20.170283390581886
ZTF21acgxypn,356.89292,-7.80692,ztfi,59520.318784699775,ZTF,14.012856399541713,None,18.600088119506836,0.07748143374919891,ab,19.679637908935547
