ZTFID,flag,remarks,lower_cut,upper_cut
ZTF24abavusp,ok,,,
ZTF24abbsuhu,ok,,,
ZTF24abchdsc,ok,,,
ZTF24abdiwwv,check,bd 100 dbp,200,
ZTF24abhhzrp,check,bd 100dbp,200,
ZTF24abhsqly,check,bad peak,,
ZTF24abiifei,ok,,,
ZTF24abimpmc,ok,,,
ZTF24abiwzzc,ok,,,
ZTF24abkiblx,ok,,,
ZTF24ablmayf,ok,,,
ZTF24ablsxza,ok,,,
ZTF24abltheg,ok,,,
ZTF24abnafgr,ok,,,
ZTF24abncuhj,check,bd 100dbp,200,
ZTF24abnsght,ok,,,
ZTF24abpqghw,ok,,,
ZTF24abqbyxd,ok,,,
ZTF24abroqvs,ok,,,
ZTF24absrpsn,ok,,,
ZTF24absznoi,ok,,,
ZTF24abtlppf,ok,,,
ZTF24abtmueg,ok,,,
ZTF24abtnkbi,ok,,,
ZTF24abwmzop,ok,,,
ZTF24abxxniy,ok,,,
ZTF24abygyka,ok,,,
ZTF24abzgggz,ok,,,
ZTF24abzmhtv,ok,bad peak,,
ZTF25aaadytl,ok,,,
ZTF25aaaecsu,ok,,,
ZTF25aaaeykb,ok,,,
ZTF25aabzbve,ok,,,
ZTF25aaccmjq,ok,,,
ZTF25aadnogd,ok,,,
ZTF25aafdnuf,ok,,,
ZTF25aafedas,ok,,,
ZTF25aafkxdu,ok,,,
ZTF25aajbcmc,ok,,,
ZTF25aajgfsk,ok,,,
ZTF25aajuqtp,check,bad peak,,
ZTF25aakbbof,ok,,,
ZTF25aakeqyr,ok,,,
ZTF25aamplge,ok,,,
ZTF25aankyie,ok,evolution?,,
ZTF25aanxtou,ok,,,
ZTF25aaomnws,ok,,,
ZTF25aarmzhx,ok,,,
ZTF25aaurzyo,ok,,,
ZTF25aavahfn,ok,,,
ZTF25aawaobl,ok,,,
ZTF25aaxegmh,ok,,,
ZTF25abbzsku,ok,,,
ZTF25abclliu,ok,,,
ZTF25abcydiy,ok,,,
ZTF25abecvml,ok,,,
ZTF25abixhdc,ok,,,
ZTF25abkwytp,ok,,,
ZTF25ablgkgi,ok,,,
ZTF25ablulax,ok,,,
ZTF25abmjfcf,ok,,,
ZTF25abmsmeg,ok,,,
ZTF25abmtiec,ok,,,
ZTF25aboftol,check,bd 50dbp,100,
ZTF25abqsbxy,ok,,,
ZTF25abvbjre,ok,,,
ZTF25abvcnay,ok,,,
ZTF25abweqoj,ok,,,
ZTF25abwophe,ok,,,
ZTF25abxfsza,ok,,,
ZTF25abyevmr,ok,,,
ZTF25abyrwhz,ok,,,
ZTF25abzudli,ok,bad peak,,
ZTF25acbzkov,ok,,,
ZTF25accmopr,ok,,,
ZTF25acdktzt,ok,,,
ZTF25acemaph,ok,,,
ZTF25aceopyo,ok,,,
ZTF25acgdfwz,ok,,,
ZTF26aaakmmc,ok,,,
ZTF26aadqfik,ok,,,
ZTF26aadqwlb,ok,,,
ZTF26aagbzrh,ok,,,
ZTF26aagrmky,ok,,,
ZTF26aahinar,ok,,,
ZTF26aahjdpb,ok,,,
ZTF26aajnayv,ok,,,
ZTF26aakdoou,ok,g-band stack,,
ZTF26aalsmpp,ok,,,
ZTF26aaqxhgb,ok,,,
ZTF26aarkqap,ok,g band stack,,
ZTF26aatlolu,ok,,,
ZTF26aaulhci,ok,,,
